Cód. Item;Quantidade;Data Prevista
00728;11000;10/06/2025
00728;11000;09/07/2025
00532;3000;22/06/2025
00720;2000;22/06/2025
00420;3000;22/06/2025
00444;3000;22/06/2025
00446;3000;22/06/2025
00723;2000;22/06/2025
00714;2000;22/06/2025
00880;3000;22/06/2025
00505;3000;25/07/2025
00718;2400;24/07/2025
00531;1000;24/07/2025
00428;3500;24/07/2025
00442;1500;24/07/2025
00424;2000;02/08/2025
00428;6000;02/08/2025
00458;3500;02/08/2025
00468;7000;02/08/2025
00532;3000;02/08/2025
00531;1500;02/08/2025
00667;3000;24/07/2025
00728;22000;07/09/2025
00694;800;24/07/2025
00679;196;24/07/2025
00424;3000;14/09/2025
00442;4000;14/09/2025
00446;3000;14/09/2025
00450;3000;14/09/2025
00458;3000;14/09/2025
00468;3000;14/09/2025
00472;2000;14/09/2025
;;
